school_id,year,month,matter_score,national_rank
1,2026,1,87.60,3
2,2026,1,82.15,8
3,2026,1,90.80,1
4,2026,1,78.55,12
5,2026,1,85.20,6
6,2026,1,80.45,11
7,2026,1,89.05,2
8,2026,1,83.35,7
9,2026,1,86.70,4
10,2026,1,80.85,10
11,2026,1,86.60,5
12,2026,1,83.10,9
1,2026,2,88.10,3
2,2026,2,83.25,8
3,2026,2,91.15,1
4,2026,2,78.90,12
5,2026,2,85.95,6
6,2026,2,81.05,11
7,2026,2,89.60,2
8,2026,2,83.80,7
9,2026,2,87.15,4
10,2026,2,81.10,10
11,2026,2,86.30,5
12,2026,2,82.95,9
1,2026,3,88.85,3
2,2026,3,83.70,8
3,2026,3,91.25,1
4,2026,3,78.40,12
5,2026,3,86.10,5
6,2026,3,80.90,11
7,2026,3,89.30,2
8,2026,3,84.00,7
9,2026,3,87.45,4
10,2026,3,81.25,10
11,2026,3,85.80,6
12,2026,3,82.70,9
