school_id,school_name,state,city,enrollment
1,Lincoln High School,CA,Los Angeles,2140
2,Roosevelt High School,CA,San Diego,1880
3,Jefferson High School,TX,Austin,1975
4,Washington High School,TX,Houston,2310
5,Madison High School,NY,Buffalo,1620
6,Hamilton High School,NY,Rochester,1450
7,Franklin High School,FL,Miami,2025
8,Adams High School,FL,Orlando,1790
9,Jackson High School,IL,Chicago,2260
10,Monroe High School,IL,Springfield,1310
11,Kennedy High School,WA,Seattle,1685
12,Grant High School,WA,Spokane,
