school_id,iso_year,iso_week,matter_score,national_rank
1,2026,2,87.40,3
2,2026,2,81.25,9
3,2026,2,90.10,1
4,2026,2,78.65,12
5,2026,2,84.30,6
6,2026,2,79.90,11
7,2026,2,88.15,2
8,2026,2,82.70,8
9,2026,2,85.55,5
10,2026,2,80.05,10
11,2026,2,86.20,4
12,2026,2,83.45,7
1,2026,3,86.90,4
2,2026,3,82.10,8
3,2026,3,91.05,1
4,2026,3,77.80,12
5,2026,3,85.00,6
6,2026,3,80.35,11
7,2026,3,89.40,2
8,2026,3,n/a,9
9,2026,3,86.75,5
10,2026,3,81.60,10
11,2026,3,87.95,3
12,2026,3,84.20,7
1,2026,4,88.60,3
2,2026,4,83.55,8
3,2026,4,90.75,1
4,2026,4,79.10,12
5,2026,4,85.85,6
6,2026,4,81.20,10
7,2026,4,89.95,2
8,2026,4,84.05,7
9,2026,4,87.30,4
10,2026,4,80.90,
11,2026,4,86.65,5
12,2026,4,82.85,9
1,2026,5,89.25,2
2,2026,5,84.10,8
3,2026,5,91.40,1
4,2026,5,78.95,12
5,2026,5,86.40,5
6,2026,5,80.75,11
7,2026,5,88.80,3
8,2026,5,83.90,7
9,2026,5,87.65,4
10,2026,5,81.35,10
11,2026,5,85.95,6
12,2026,5,82.50,9
